name,ring,quadrant,isNew,description
Smart Watches"," Social Media"," available Patient Data for Market Surveillance,Initial,Technologie,FALSE,"mehr Informationen folgen"
Data-Lake for safety surveillance and communication,Initial,Technologie,FALSE,"mehr Informationen folgen"
RWD for confirming previousliy given marketing Authorization.,Initial,Technologie,FALSE,"mehr Informationen folgen"
PRE-Evaluation of Marketing Authorization Applications (MAA) only on AI-selected chapters”,Initial,Technologie,FALSE,"mehr Informationen folgen"
POST-Evaluation of MAA which did  fail at previous applications,Initial,Technologie,FALSE,"mehr Informationen folgen"
Pooling Safety signals from multiple sources for reading out risks to patients and for inspection,Initial,Technologie,FALSE,"mehr Informationen folgen"
Real-time study sucess algorithm,Initial,Technologie,FALSE,"mehr Informationen folgen"
AI for Personalized Drug Development Approval,Initial,Technologie,FALSE,"mehr Informationen folgen"
Knowing the Gene-Profile of patients will lead to enlarge the Marketing Authorization beyond the initial trial data.,Initial,Organisation & Prozesse,FALSE,"mehr Informationen folgen"
AI-based compliance checking of company self-approved data,Initial,Technologie,FALSE,"mehr Informationen folgen"
Reputation of Swissmedic in Social Media^ Goal: improve reputation,Initial,Organisation & Prozesse,FALSE,"mehr Informationen folgen"
Signal detection on Swissmedic data,Initial,Technologie,FALSE,"mehr Informationen folgen"
Usage of published data on our websites and user behaviour"," Goal: Optimise our website structure and quality of data/content,Trial,Technologie,FALSE,"mehr Informationen folgen"
scheduling of new designer precursors,Initial,Technologie,FALSE,"mehr Informationen folgen"
scheduling of new psychoactive substances (NPS),Initial,Technologie,FALSE,"mehr Informationen folgen"
Identify risky shipments,Initial,Technologie,FALSE,"mehr Informationen folgen"
API manufacturers abroad with unreported issues,Initial,Technologie,FALSE,"mehr Informationen folgen"
Answer questions from the public with help of AI,Assess,Technologie,FALSE,"mehr Informationen folgen"
Speed-up marketing authorisation processes,Initial,Technologie,FALSE,"mehr Informationen folgen"
GCP Inspections,Initial,Technologie,FALSE,"mehr Informationen folgen"
GCP/GVP Inspections (department KLV and MEP),Initial,Technologie,FALSE,"mehr Informationen folgen"
Priorization of incident reports and identification of signals and trends,Initial,Technologie,FALSE,"mehr Informationen folgen"
Identify trends and signals based on Europen vigilance sites,Initial,Technologie,FALSE,"mehr Informationen folgen"
Identify if a medical device has to early been released to the market.,Initial,Technologie,FALSE,"mehr Informationen folgen"
Analytical method for laboratory,Initial,Technologie,FALSE,"mehr Informationen folgen"
Study-data of patients"," data analysis sub group,Initial,Technologie,FALSE,"mehr Informationen folgen"
Automated search of Articles and ranking,Adopt,Technologie,FALSE,"mehr Informationen folgen"
Generating smart data out of big data,Initial,Technologie,FALSE,"mehr Informationen folgen"
Secondary maliciency (drug-related) based on adverse events or information coming from bibliography and other sources,Initial,Technologie,FALSE,"mehr Informationen folgen"
System for Data quality,Initial,Technologie,FALSE,"mehr Informationen folgen"
Good Randomized clinical trials (RCTs) vs Bad RCTs automated system to make the choice,Initial,Technologie,FALSE,"mehr Informationen folgen"
automatisation in checking dossiers/forms,Initial,Technologie,FALSE,"mehr Informationen folgen"
Certificates of Pharmaceutical Products are given based on data to be found in SAP,Initial,Technologie,FALSE,"mehr Informationen folgen"
AI-based dentification of new developments that are or will be relevant for Swissmedic (--> Horizon Scanning),Initial,Organisation & Prozesse,FALSE,"mehr Informationen folgen"
Support of quality review,Initial,Technologie,FALSE,"mehr Informationen folgen"
Support of clinical review,Initial,Technologie,FALSE,"mehr Informationen folgen"
Blockchain für Labelling Phase,Initial,Technologie,FALSE,"mehr Informationen folgen"
Gruppenweise Anpassungen von Arzneimittelinformations-Passagen,Initial,Technologie,FALSE,"mehr Informationen folgen"
Verknüpfung von Videos zur Anwendung des AM in der Arzneimittelinfo via QR Code,Initial,Technologie,FALSE,"mehr Informationen folgen"
GCRSR Executive Committee (Global Coalition for Regulatory Science Research),Assess,Organisation & Prozesse,FALSE,"mehr Informationen folgen"
ETHZ NRP 77,Assess,Organisation & Prozesse,FALSE,"mehr Informationen folgen"
Austausch mit MHRA und DKMA,Assess,Organisation & Prozesse,FALSE,"mehr Informationen folgen"
Zusammenarbeit mit BFS,Assess,Organisation & Prozesse,FALSE,"mehr Informationen folgen"
Austausch mit FDA (Division of Bioinformatics and Biostatistics),Assess,Organisation & Prozesse,FALSE,"mehr Informationen folgen"
App Social Media,Assess,Technologie,FALSE,"mehr Informationen folgen"
RPA,Assess,Technologie,FALSE,"mehr Informationen folgen"
Neue Führungskonzepte,Assess,Mensch & Kultur,FALSE,"mehr Informationen folgen"
Contract Life Cycle Management,Initial,Organisation & Prozesse,FALSE,"mehr Informationen folgen"
Enterprise search,Assess,Technologie,FALSE,"mehr Informationen folgen"
Pharmaledger CPP (Prüfzertifikate) evtl. bei Betäubungsmittel,Initial,Technologie,FALSE,"mehr Informationen folgen"
Dokumenten Data Lake,Initial,Technologie,FALSE,"mehr Informationen folgen"
Formulare,Initial,Übergabe IT,FALSE,"mehr Informationen folgen"
